Original Filename,Original Path,File Type,Dimensions,File Size,SHA-256,Visual Classification,Likely Content,Sequence/Group,Currently Used By UI?,Approved/Production?,Experimental?,Proposed Destination,Confidence,Notes
a123_turtle_sunflower_keychain_s.stl,C:\Users\jesse\Downloads\\a123_turtle_sunflower_keychain_s.stl,stl,,8775484,3a4b977ca7ba824b737bbb6ec101f3962c291c01847658537abadd2318742bf7,,,,,,,,,top-level Sunny-named item
Sunflower_V1_Phase2_Deliverables.md,C:\Users\jesse\Downloads\\Sunflower_V1_Phase2_Deliverables.md,md,,18343,d320b764e5fe1fac0fbefdd3dd13c42eb14cc9d8ab553cd4de4ae904c6a3ff5f,,,,,,,,,top-level Sunny-named item
Sunny animation rig build.zip,C:\Users\jesse\Downloads\\Sunny animation rig build.zip,zip,,36117204,d3ac1d00bbce7f97030bf28b845f3ee6c7c0c599d440f751ed011bbe3dbeb724,,,,,,,,,top-level Sunny-named item
Sunny Animation Standalone (1).html,C:\Users\jesse\Downloads\\Sunny Animation Standalone (1).html,html,,1632020,0f2f8b4b3ba742f6da835265be726b42d61994add6ad391c2b6ffc4da96ae5ac,,,,,,,,,top-level Sunny-named item
Sunny Animation Standalone.html,C:\Users\jesse\Downloads\\Sunny Animation Standalone.html,html,,1632020,0f2f8b4b3ba742f6da835265be726b42d61994add6ad391c2b6ffc4da96ae5ac,,,,,,,,,top-level Sunny-named item
Sunny Boot Sequence Animation,C:\Users\jesse\Downloads\\Sunny Boot Sequence Animation,directory,,,,,,,,,,,,top-level Sunny-named item
Sunny Boot Sequence Animation.zip,C:\Users\jesse\Downloads\\Sunny Boot Sequence Animation.zip,zip,,16528,4645a68b6df85a8ef796ed84a033826c3a0d1a8c2b1c12f0400a2ec0e517f08b,,,,,,,,,top-level Sunny-named item
Sunny Booty Bounce (1).html,C:\Users\jesse\Downloads\\Sunny Booty Bounce (1).html,html,,3978997,8bc662d86d7b0af56dcb305e197723cdbe0f0b35da53b82cc4ea968e01ea1ee2,,,,,,,,,top-level Sunny-named item
Sunny Booty Bounce.html,C:\Users\jesse\Downloads\\Sunny Booty Bounce.html,html,,3977580,7b02b09f3ba3c745e2d13d1c251a3530c82c43e504ba9e7ccb28745b728ba95b,,,,,,,,,top-level Sunny-named item
Sunny glasses rage gremn.png,C:\Users\jesse\Downloads\\Sunny glasses rage gremn.png,png,,2122565,de36b80b63b938ceacbec1ddae08bd1a36a566ceceb9a5d5c7253bc6f111f000,,,,,,,,,top-level Sunny-named item
Sunny Headbang Animation Final PV1,C:\Users\jesse\Downloads\\Sunny Headbang Animation Final PV1,directory,,,,,,,,,,,,top-level Sunny-named item
Sunny Headbang Animation Final PV1.zip,C:\Users\jesse\Downloads\\Sunny Headbang Animation Final PV1.zip,zip,,39060548,5fde69e0fb83710805c5865644980f5feab9356eb2c8726ee7e833d29dce7f0e,,,,,,,,,top-level Sunny-named item
Sunny Icon Header v1.png,C:\Users\jesse\Downloads\\Sunny Icon Header v1.png,png,,2266858,7b949a0e4f0ac7aedd96307f7cc1f9213fb820105c13b3ac285d8d362937066d,,,,,,,,,top-level Sunny-named item
Sunny Idle animation loop,C:\Users\jesse\Downloads\\Sunny Idle animation loop,directory,,,,,,,,,,,,top-level Sunny-named item
Sunny Logo.png,C:\Users\jesse\Downloads\\Sunny Logo.png,png,,1482289,4a5ad1b3dc980731740f097575354b9312f04ef1de5091795e65aa1d895465dc,,,,,,,,,top-level Sunny-named item
Sunny rage animation system (1),C:\Users\jesse\Downloads\\Sunny rage animation system (1),directory,,,,,,,,,,,,top-level Sunny-named item
